"","zipcode","total_support"
"971","03447",5497.05
"972","03448",1269.03
"973","03449",2361.78
"974","03450",120
"975","03451",30855.13
"976","03452",28927.94
"977","03455",20895.31
"978","03456",2110.1
"979","03457",1410
"980","03458",33535.62
"981","03461",5675.38
"982","03462",3091.28
"983","03464",1331.43
"984","03465",11409.61
"985","03466",2629.99
"986","03467",2095.17
"987","03469",150
"988","03470",41510.9
"989","03561",169728.78
"990","03570",315885.11
"991","03574",36503.52
"992","03575",90
"993","03576",12804.13
"994","03579",49.58
"995","03580",4006.68
"996","03581",45407.92
"997","03582",68419.11
"998","03583",7093.43
"999","03584",73493.17
"1000","03585",42263.51
"1001","03586",2655.47
"1002","03588",4510.28
"1003","03590",7203.31
"1004","03592",2736.6
"1005","03593",499.96
"1006","03595",720
"1007","03597",584.16
"1008","03598",58966.99
"1009","03601",310
"1010","03602",13456.08
"1011","03603",39473.45
"1012","03605",2282.88
"1013","03607",316.69
"1014","03608",9463.72
"1015","03609",5843.98
"1016","03740",10992.99
"1017","03741",19694.72
"1018","03743",193906.81
"1019","03745",3730
"1020","03748",14662.57
"1021","03749",390
"1022","03750",532.45
"1023","03751",1389.99
"1024","03752",2892.49
"1025","03753",4249.94
"1026","03755",9730.54
"1027","03765",2590
"1028","03766",62606.01
"1029","03768",1210
"1030","03770",750
"1031","03771",4809.91
"1032","03773",78700.41
"1033","03774",25313.57
"1034","03777",1518.84
"1035","03779",2841.68
"1036","03780",2994.95
"1037","03781",4079.03
"1038","03782",9546.66
"1039","03784",27622.13
"1040","03785",61391.13
"1041","03801",110108.67
"1042","03802",30
"1043","03804",190
"1044","03809",9776.27
"1045","03810",4510
"1046","03811",8344.24
"1047","03812",4572.94
"1048","03813",32202.42
"1049","03814",49159.58
"1050","03816",13237.39
"1051","03817",6548.21
"1052","03818",62310.34
"1053","03819",13719.49
"1054","03820",224552.77
"1055","03821",130
"1056","03823",3039.17
"1057","03824",14586.43
"1058","03825",26289.49
"1059","03826",2718.05
"1060","03827",5671.17
"1061","03830",13912.21
"1062","03832",1058.1
"1063","03833",77965.7
"1064","03835",63810.1
"1065","03836",14048.79
"1066","03837",2570
"1067","03838",4239.89
"1068","03839",38801.15
"1069","03840",5978.89
"1070","03841",11812.35
"1071","03842",48982.61
"1072","03844",6211.23
"1073","03845",4949.92
"1074","03846",1670
"1075","03847",180
"1076","03848",15704.68
"1077","03849",11402.72
"1078","03850",330
"1079","03851",24126.77
"1080","03852",3419.96
"1081","03853",4081.8
"1082","03855",7493.95
"1083","03856",2659.88
"1084","03857",37983.87
"1085","03858",10377.55
"1086","03860",52279.36
"1087","03861",12484.16
"1088","03862",7773.34
"1089","03864",23685.49
"1090","03865",22171.04
"1091","03866",30
"1092","03867",268070
"1093","03868",53589.63
"1094","03869",9289.53
"1095","03870",5769.99
"1096","03872",38173.75
"1097","03873",13333.53
"1098","03874",78356.33
"1099","03875",4452.6
"1100","03878",116173.67
"1101","03882",27392.03
"1102","03883",1694.97
"1103","03884",7302.78
"1104","03885",6679.2
"1105","03886",31330.5
"1106","03887",21571.22
"1107","03890",4582.84
"1108","03894",22539.25
"1109","03896",30
